Zenith Lite™ Diffuse Reflectance Target - 95%R.csv;Reflectivity: 95% (UV-VIS-NIR);DETECTOR-PC\admin;10.04.2014 15:35:46;Lambda 950;950L1211082;1.61.00 Lambda 900
nm;R
1063;0.960797
1064;0.96088
1065;0.961004
1066;0.961331
1067;0.961036
1068;0.960797
1069;0.960657
1070;0.960848
1071;0.961086
1072;0.961407
1073;0.960962
1074;0.960587
1075;0.960623
1076;0.960296
1077;0.960433
1078;0.960823
1079;0.960791
1080;0.960779
1081;0.96047
1082;0.959995
1083;0.960709
1084;0.960546
1085;0.960597
1086;0.961169
1087;0.960758
1088;0.960452
1089;0.960417
1090;0.960118
1091;0.960469
1092;0.961248
1093;0.96072
1094;0.961629
1095;0.960992
1096;0.96078
1097;0.961298
1098;0.95979
1099;0.960483
1100;0.96091
1101;0.96088
1102;0.960848
1103;0.960707
1104;0.961385
1105;0.960573
1106;0.960386
1107;0.960548
1108;0.960458
1109;0.960387
1110;0.960484
1111;0.960364
1112;0.960416
1113;0.960555
1114;0.960055
1115;0.960246
1116;0.960255
1117;0.959737
1118;0.959755
1119;0.959787
1120;0.960249
1121;0.960162
1122;0.959026
1123;0.959526
1124;0.959471
1125;0.959545
1126;0.960081
1127;0.959546
1128;0.959184
1129;0.959452
1130;0.95942
1131;0.958253
1132;0.957867
1133;0.959384
1134;0.959133
1135;0.959107
1136;0.959644
1137;0.958869
1138;0.959158
1139;0.959232
1140;0.959463
1141;0.959483
1142;0.959321
1143;0.959115
1144;0.959399
1145;0.958831
1146;0.958906
1147;0.959329
1148;0.958703
1149;0.958362
1150;0.95825
1151;0.958608
1152;0.957996
1153;0.958853
1154;0.958113
1155;0.958517
1156;0.959144
1157;0.958175
1158;0.958094
1159;0.958001
1160;0.958385
1161;0.957945
1162;0.958466
1163;0.958106
1164;0.958272
1165;0.958229
1166;0.958098
1167;0.958055
1168;0.958189
1169;0.957801
1170;0.957957
1171;0.958323
1172;0.957379
1173;0.957557
1174;0.95773
1175;0.957423
1176;0.957673
1177;0.957628
1178;0.957472
1179;0.957158
1180;0.957182
1181;0.957147
1182;0.957296
1183;0.95699
1184;0.956855
1185;0.957016
1186;0.957168
1187;0.956682
1188;0.95685
1189;0.956483
1190;0.956033
1191;0.956833
1192;0.957192
1193;0.957079
1194;0.956858
1195;0.956709
1196;0.956008
1197;0.956987
1198;0.957469
1199;0.956924
1200;0.956448
1201;0.9571
1202;0.957528
1203;0.957221
1204;0.957143
1205;0.957036
1206;0.957061
1207;0.956763
1208;0.956805
1209;0.95691
1210;0.956708
1211;0.956254
1212;0.955824
1213;0.957062
1214;0.957354
1215;0.956714
1216;0.956168
1217;0.957223
1218;0.957055
1219;0.956631
1220;0.957075
1221;0.957582
1222;0.957392
1223;0.956532
1224;0.95625
1225;0.957334
1226;0.957379
1227;0.957405
1228;0.957643
1229;0.957488
1230;0.957547
1231;0.95761
1232;0.957079
1233;0.957098
1234;0.957803
1235;0.957409
1236;0.957085
1237;0.957892
1238;0.957882
1239;0.957212
1240;0.957421
1241;0.958094
1242;0.957968
1243;0.957278
1244;0.957343
1245;0.957778
1246;0.957783
1247;0.957214
1248;0.957133
1249;0.957601
1250;0.957597
1251;0.957441
1252;0.956679
1253;0.956809
1254;0.95732
1255;0.957398
1256;0.957742
1257;0.957816
1258;0.957492
1259;0.957038
1260;0.957056
1261;0.957612
1262;0.957767
1263;0.957653
1264;0.956987
1265;0.9571
1266;0.957654
1267;0.957474
1268;0.957306
1269;0.95764
1270;0.957604
1271;0.957332
1272;0.957727
1273;0.957838
1274;0.957892
1275;0.957944
1276;0.957806
1277;0.957369
1278;0.957237
1279;0.957477
1280;0.957312
1281;0.957805
1282;0.957783
1283;0.957303
1284;0.957394
1285;0.957203
1286;0.956512
1287;0.957122
1288;0.957373
1289;0.957098
1290;0.957115
1291;0.95716
1292;0.95725
1293;0.957197
1294;0.95662
1295;0.956605
1296;0.956858
1297;0.956991
1298;0.957487
1299;0.957297
1300;0.956409
1301;0.957547
1302;0.957205
1303;0.956793
1304;0.95604
1305;0.956753
1306;0.957405
1307;0.95688
1308;0.95683
1309;0.957114
1310;0.957157
1311;0.957061
1312;0.956252
1313;0.956687
1314;0.956816
1315;0.957272
1316;0.9568
1317;0.956578
1318;0.956938
1319;0.95675
1320;0.957489
1321;0.956641
1322;0.956651
1323;0.956631
1324;0.956573
1325;0.956345
1326;0.956662
1327;0.955959
1328;0.956257
1329;0.956198
1330;0.956277
1331;0.957059
1332;0.956165
1333;0.956629
1334;0.956337
1335;0.95624
1336;0.955337
1337;0.955979
1338;0.955985
1339;0.95588
1340;0.955566
1341;0.955692
1342;0.955577
1343;0.956194
1344;0.95521
1345;0.955179
1346;0.9544
1347;0.955801
1348;0.955002
1349;0.954937
1350;0.953346
1351;0.956296
1352;0.953791
1353;0.953398
1354;0.953977
1355;0.954441
1356;0.952529
1357;0.952163
1358;0.953877
1359;0.951715
1360;0.952795
1361;0.953839
1362;0.951874
1363;0.952009
1364;0.952224
1365;0.952145
1366;0.951596
1367;0.951759
1368;0.951518
1369;0.951063
1370;0.951355
1371;0.950633
1372;0.951277
1373;0.95043
1374;0.951299
1375;0.95111
1376;0.95045
1377;0.950877
1378;0.952175
1379;0.951957
1380;0.950277
1381;0.950502
1382;0.950788
1383;0.950966
1384;0.951666
1385;0.951234
1386;0.950515
1387;0.950197
1388;0.951178
1389;0.950792
1390;0.950823
1391;0.94976
1392;0.949666
1393;0.950022
1394;0.950039
1395;0.950055
1396;0.950213
1397;0.949938
1398;0.950221
1399;0.950065
1400;0.949771
1401;0.949734
1402;0.950131
1403;0.950595
1404;0.950878
1405;0.949492
1406;0.949621
1407;0.950537
1408;0.949354
1409;0.949169
1410;0.949827
1411;0.949744
1412;0.949814
1413;0.950038
1414;0.949785
1415;0.949984
1416;0.949508
1417;0.94987
1418;0.95049
1419;0.949579
1420;0.949698
1421;0.950109
1422;0.949979
1423;0.950453
1424;0.949968
1425;0.949936
1426;0.95021
1427;0.950466
1428;0.949862
1429;0.949868
1430;0.949908
1431;0.950554
1432;0.951059
1433;0.950309
1434;0.949774
1435;0.950436
1436;0.949891
1437;0.949862
1438;0.950304
1439;0.95027
1440;0.950295
1441;0.950045
1442;0.950249
1443;0.949942
1444;0.9498
1445;0.950122
1446;0.95018
1447;0.950298
1448;0.950209
1449;0.950644
1450;0.950794
1451;0.949936
1452;0.949987
1453;0.95017
1454;0.950338
1455;0.950253
1456;0.950642
1457;0.950955
1458;0.950085
1459;0.949935
1460;0.951029
1461;0.950987
1462;0.950473
1463;0.950464
1464;0.950477
1465;0.950085
1466;0.949888
1467;0.950698
1468;0.950943
1469;0.950605
1470;0.950515
1471;0.950465
1472;0.950761
